sample_id,group,snapshot,root_cpu,root_errors,root_latency,n_nodes,n_requires,n_replicas,alarm_fraction,root_down,down_fraction,reachable_fraction,exposed_fraction,reachable_down_fraction,degraded_fraction,mean_cpu,max_cpu,mean_errors,max_errors,target
0,0,0,0.5809340352495356,0.3227910140558103,75.46845592400047,10,8,0,0.3,0,0.3,0.2,0.0,0.0,0.0,0.5556070914934097,0.8827317719250419,0.4853535835942998,0.8884037474213209,0
1,0,1,0.4682586443399377,0.07634160489580757,60.173263498946525,10,8,0,0.0,0,0.0,0.2,0.0,0.0,0.0,0.4643968276503211,0.7282189383417477,0.2620714893592605,0.4038696091405409,0
2,0,2,0.41943451784652397,0.11202783146446224,52.64421329545241,10,8,0,0.2,1,0.6,0.2,1.0,1.0,0.0,0.5882813978851502,0.9800631186394969,0.49256036700945005,1.0,1
3,0,3,0.8299061288629368,0.5589277679581551,126.54545319209498,10,8,0,0.2,1,0.6,0.2,0.5,1.0,0.0,0.5714160693368768,0.8299061288629368,0.47889097477336506,0.7197463539623391,1
4,0,4,0.50616347406666,0.7020750723407154,116.36908546778828,10,8,0,0.4,1,0.8,0.2,0.5,0.5,0.0,0.5682829198732097,0.8120507540750173,0.5245689075626003,0.756050530720711,1
5,0,5,0.3147038050941476,0.31940180907666815,70.37953232344925,10,8,0,0.1,0,0.5,0.2,0.0,0.0,0.0,0.46106388588526875,0.8195336852640615,0.3830173649555054,0.7997254149525996,0
6,0,6,0.30245999899469894,0.2171498510340676,41.478708636287394,10,8,0,0.2,1,0.9,0.2,0.5,1.0,0.0,0.49863329779553595,0.8788989101576554,0.4131675391498753,0.8203823165394954,0
7,0,7,0.36011919234039297,0.1805433839177193,70.13775292904751,10,8,0,0.0,0,0.0,0.2,0.0,0.0,0.0,0.3713136059448342,0.5602861782436217,0.2610843857214252,0.46915153944466303,0
8,1,0,0.6808558800503566,0.5815659238975277,142.83557266114863,17,12,5,0.29411764705882354,0,0.47058823529411764,0.11764705882352941,0.0,0.0,0.17647058823529413,0.6195997377407971,0.861622782186468,0.5133881359501254,0.9166591443198803,1
9,1,1,0.2635598178403271,0.1975910777365547,32.879114437987496,17,12,5,0.11764705882352941,1,0.5882352941176471,0.11764705882352941,0.5,1.0,0.29411764705882354,0.3816556157975514,0.7008605736982847,0.3146343284105596,0.8183466430837597,0
10,1,2,0.3632547748171871,0.19237418231753906,65.98386904053677,17,12,5,0.058823529411764705,0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.4392402616478798,0.6299729934905888,0.3049621465898835,0.6279443162643905,0
11,1,3,0.38927621280111335,0.07083342490596056,81.75874658796121,17,12,5,0.0,0,0.0,0.11764705882352941,0.0,0.0,0.0,0.3997451718982297,0.6589364665700838,0.25461925166674204,0.471022984458512,1
12,1,4,0.48086331030849794,0.25706496565205805,75.45142774521193,17,12,5,0.0,0,0.0,0.11764705882352941,0.0,0.0,0.0,0.4022959018787505,0.6079709496196039,0.28250487941775165,0.5692468513550634,0
