sample_id,group,snapshot,root_cpu,root_errors,root_latency,n_nodes,n_requires,n_replicas,alarm_fraction,root_down,down_fraction,reachable_fraction,exposed_fraction,reachable_down_fraction,degraded_fraction,mean_cpu,max_cpu,mean_errors,max_errors,target
0,0,0,0.15891005996091043,0.3574699235224969,75.31885583552507,23,31,3,0.08695652173913043,1,0.8695652173913043,0.43478260869565216,0.2,0.9,0.13043478260869565,0.40949188173010814,0.8939184468111908,0.29540690110613826,0.7568278800503212,1
1,0,1,0.21417073948958185,0.3936338448096306,51.902519092674154,23,31,3,0.13043478260869565,1,0.782608695652174,0.43478260869565216,0.2,0.8,0.13043478260869565,0.36138819219056445,0.7512530625659332,0.27187959654682387,0.6618060351410706,1
2,0,2,0.4956909252025011,0.41031490201636833,86.27889792189994,23,31,3,0.043478260869565216,1,0.08695652173913043,0.43478260869565216,0.1,0.1,0.0,0.39161460144398325,0.6408393950123644,0.29935515168176513,0.6714791181921119,1
3,0,3,0.35301948762234914,0.06573941939318706,47.122872540488096,23,31,3,0.08695652173913043,1,0.8260869565217391,0.43478260869565216,0.1,0.7,0.13043478260869565,0.4214353527751296,0.7556835697415797,0.30624113482125376,0.6315550775564415,0
4,0,4,0.4099569382055778,0.3403494983267592,102.46116396377818,23,31,3,0.34782608695652173,1,0.8695652173913043,0.43478260869565216,0.3,0.8,0.13043478260869565,0.6235182820801206,0.9453251337595635,0.551176273632878,0.9415941940483428,1
5,0,5,0.3079942218703164,0.13261747903692367,50.146681524835586,23,31,3,0.043478260869565216,1,0.21739130434782608,0.43478260869565216,0.1,0.3,0.0,0.33550539543512437,0.7032857104036075,0.22112974920694964,0.7262646530020215,1
6,0,6,0.5991551651997699,0.8110454777928714,131.2460030145458,23,31,3,0.08695652173913043,1,0.13043478260869565,0.43478260869565216,0.0,0.0,0.0,0.448833940744023,0.7414067714097929,0.3249005107902875,0.8110454777928714,0
7,0,7,0.6731788460663986,0.8728861637023478,164.42357423224078,23,31,3,0.17391304347826086,1,0.43478260869565216,0.43478260869565216,0.1,0.5,0.043478260869565216,0.4614455325834308,0.7671680536559695,0.36138564343519947,0.8728861637023478,1
8,1,0,0.30647847949838725,0.3633795481861992,83.1674009060083,27,34,3,0.37037037037037035,0,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.5,0.1111111111111111,0.6070942848404773,0.9412271331694055,0.5678258590808786,1.0,1
9,1,1,0.41229166883406,0.14365347098414652,47.53000530214715,27,34,3,0.14814814814814814,0,0.37037037037037035,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.07407407407407407,0.4858441528529709,0.7625336573894655,0.42588641772515484,0.8301903370900598,1
10,1,2,0.5321654318790527,0.31491335103620205,100.29033897102778,27,34,3,0.18518518518518517,0,0.7037037037037037,0.2222222222222222,0.16666666666666666,0.5,0.1111111111111111,0.5478552327825464,0.8663324702270851,0.4501404493355416,0.8739189900855477,0
11,1,3,0.39539998882196903,0.21565216723122754,79.94139821109627,27,34,3,0.07407407407407407,1,0.25925925925925924,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.0,0.45322734922908076,0.8612393914930931,0.3311133435615435,0.6692281751079822,0
