sample_id,group,node,cpu,errors,latency
0,0,n00,0.29880526228912274,0.035170940698374537,41.01993694943707
0,0,n01,0.16655277068240293,0.023752876692706967,47.62248815562222
0,0,n02,0.22739700520439998,0.04992255461841491,52.12037956491491
0,0,n03,0.26832703967859256,0.015641899846252784,41.16391136536508
0,0,n04,0.25824739092971166,0.022148732065111,46.66486922270053
0,0,n05,0.1912070697923353,0.03550035827329718,49.11319020868639
0,0,n06,0.2795705220531647,0.031305281976604676,41.71546854120982
0,0,n07,0.1859228420309581,0.058570638778542655,40.112139055960505
0,0,n08,0.21207294253834552,0.05185443046656468,39.10136491681241
0,0,n09,0.24747996486080062,0.04554262767714037,42.41172750274598
1,0,n00,0.6968101668295087,0.07589386304522489,113.88097047089013
1,0,n01,0.7401741172991272,0.05790665757679027,110.36901380713599
1,0,n02,0.6923397465808845,0.08694852962482408,108.68299878277966
1,0,n03,0.7303072037597915,0.08140948209234819,113.90538130205883
1,0,n04,0.6414656673665506,0.08074684002623089,114.39889066127779
1,0,n05,0.6933720141271462,0.09337247344071789,97.12169834628578
1,0,n06,0.6459519455567146,0.07911459104991861,122.43055917298842
1,0,n07,0.7574355400125836,0.0876973896020172,109.366767294767
1,0,n08,0.800550843724922,0.0919753492034934,111.84417581802204
1,0,n09,0.7688204023173334,0.05214860444695056,100.48892066980346
2,0,n00,0.25342885671173926,0.044852289862801764,34.104269651877715
2,0,n01,0.19569273597223366,0.028944897822964166,45.68860911334581
2,0,n02,0.2700098445193214,0.036940047570362046,51.83265481406868
2,0,n03,0.21627593804380388,0.0334723036506471,42.44763688267817
2,0,n04,0.27084623387928514,0.039587864303202144,38.13590756595135
2,0,n05,0.2412026695491635,0.037648066495377656,38.417107319535035
2,0,n06,0.2200453421890342,0.05277911762953276,58.74870696357996
2,0,n07,0.27566862912948975,0.01443148638464321,42.637481429405334
2,0,n08,0.220179597306244,0.013161749339834845,37.17874287137458
2,0,n09,0.24297905851760013,0.033718486187296705,59.222472399978045
3,0,n00,0.7693956474125683,0.07123715484151591,116.04665820644786
3,0,n01,0.6518567194868992,0.0793077296043646,111.10104923228236
3,0,n02,0.6782448600476526,0.06856657339946619,106.74520485884554
3,0,n03,0.7630015341014235,0.06897988180265419,110.10545630399659
3,0,n04,0.7497512362398325,0.07648945915933142,131.30693233407348
3,0,n05,0.6716685036673355,0.0810286287179583,116.14440659565147
3,0,n06,0.6955790097550981,0.08648946481295795,115.6501990823964
3,0,n07,0.6724205355050881,0.10242262307849381,114.28615727678451
3,0,n08,0.7453195225595517,0.07470090343669847,100.728938158508
3,0,n09,0.7570314920129605,0.07711772855752495,108.05540219130596
4,0,n00,0.2356025878112182,0.02460763685859075,41.26691683164956
4,0,n01,0.3063431505394286,0.02826203608408677,43.838465702893025
4,0,n02,0.2607151260867755,0.02353278943557488,53.291256283699404
4,0,n03,0.18360919552544946,0.03161178023699901,45.657656974571886
4,0,n04,0.2344591925621493,0.03596359343299263,47.80347083735954
4,0,n05,0.29441962629080365,0.0217349715826897,51.13497146568759
4,0,n06,0.25034387324157514,0.025708402165300452,42.89683636053858
4,0,n07,0.27771163077773137,0.002590097544635843,36.65542358373869
4,0,n08,0.15999523681362204,0.046638615459102375,32.364918032795444
4,0,n09,0.26032625335321447,0.05372977207508327,48.05439986362902
5,0,n00,0.7409059508438629,0.08039806154507766,118.47048548221666
5,0,n01,0.6966562990561291,0.0872330682731619,103.86189899771146
5,0,n02,0.6693432080578846,0.08306848526442084,110.91488316160502
5,0,n03,0.7247317554954268,0.06986144562806838,105.88667483443871
5,0,n04,0.6806680348049321,0.08067369869931539,121.71254171182605
