sample_id,group,snapshot,root_cpu,root_errors,root_latency,n_nodes,n_requires,n_replicas,alarm_fraction,root_down,down_fraction,reachable_fraction,exposed_fraction,reachable_down_fraction,degraded_fraction,mean_cpu,max_cpu,mean_errors,max_errors,target
0,0,0,0.3551206204873514,0.47683216185512983,82.13912319276041,17,5,11,0.23529411764705882,0,0.35294117647058826,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.5267309570762272,0.713249901525527,0.5042992217275789,0.8067809932776924,0
1,0,1,0.785361803912221,0.7853255628931481,167.13086589911765,17,5,11,0.17647058823529413,1,0.29411764705882354,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.44134535675749315,0.785361803912221,0.3627194600101751,0.7853255628931481,1
2,0,2,0.8272654085380775,0.6724224987256628,142.4796787030767,17,5,11,0.35294117647058826,1,0.47058823529411764,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.35294117647058826,0.5578449612045288,0.8272654085380775,0.4976406358442869,0.6919679422948524,1
3,0,3,0.48875128543225965,0.44157675576896827,110.14993010417831,17,5,11,0.29411764705882354,0,0.35294117647058826,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.29411764705882354,0.5328813908583278,0.7189123222441065,0.4704762979840742,0.7635475807282777,0
4,0,4,0.469699633696561,0.4262323669670217,120.44386345608503,17,5,11,0.0,0,0.0,0.17647058823529413,0.0,0.0,0.0,0.39676595774452317,0.5922799443728178,0.302078560945643,0.5955550042708199,1
5,0,5,0.5289028052841298,0.38236001235986466,103.32402844407957,17,5,11,0.058823529411764705,0,0.058823529411764705,0.17647058823529413,0.0,0.0,0.11764705882352941,0.4036662550576297,0.5843930414826377,0.2641789820692329,0.6928723694454968,0
6,0,6,0.416085501048141,0.2718275639884838,102.33974272882061,17,5,11,0.23529411764705882,0,0.23529411764705882,0.17647058823529413,0.0,0.0,0.058823529411764705,0.5306697110834034,0.7726015846228715,0.4612524068527033,0.8522976911846055,0
7,0,7,0.25394921674082827,0.19631076993799793,70.6185439841226,17,5,11,0.17647058823529413,0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.11764705882352941,0.46104557545085517,0.8439476986858586,0.3698464482484345,0.7415276736484326,0
8,1,0,0.3680259499067066,0.19394487194999283,73.6067441081541,15,1,11,0.06666666666666667,0,0.06666666666666667,0.26666666666666666,0.0,0.0,0.06666666666666667,0.5097017927019086,0.7322749941291741,0.3872909781937109,0.7970870086597796,0
9,1,1,0.6308110963009529,0.5422315955827555,118.32867373064893,15,1,11,0.26666666666666666,1,0.5333333333333333,0.26666666666666666,0.5,0.5,0.6,0.5383045920108553,0.7486833021073864,0.47416912802225114,0.7305461824524822,0
10,1,2,0.47995217417982944,0.29617298440301926,87.24373186510901,15,1,11,0.3333333333333333,0,0.6,0.26666666666666666,0.5,0.5,0.6666666666666666,0.5943209407215695,0.8138082229525941,0.5606591627645358,0.9149160469342273,0
11,1,3,0.4932272565935802,0.3036455530652936,134.13853404560635,15,1,11,0.06666666666666667,0,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.48526897921154094,0.7806335011534854,0.3324512706287347,0.7393739919633994,0
12,1,4,0.526490799778962,0.2163219689570925,106.13255631405849,15,1,11,0.0,0,0.0,0.26666666666666666,0.0,0.0,0.0,0.3647586140061582,0.5375138844377403,0.1831137128266218,0.3642442459926715,0
13,1,5,0.5983456882270275,0.34573750598332437,116.41134498223303,15,1,11,0.0,0,0.0,0.26666666666666666,0.0,0.0,0.0,0.5328499064468658,0.7186251759924877,0.3527090588945346,0.598251339830398,0
